timestamp,open,high,low,close,volume
2021-07-29,142.33,142.96,141.6,141.93,2666320
2021-07-28,143.01,143.1,141.64,141.77,2544099
2021-07-27,142.53,143.64,141.6,142.75,3137027
2021-07-26,141.39,143.0,141.13,142.77,4246266
2021-07-23,140.96,141.7,140.33,141.34,4474157
2021-07-22,141.66,141.81,140.41,140.71,3314153
2021-07-21,139.97,141.39,139.65,141.3,4803977
2021-07-20,143.0,144.92,138.7,139.97,13611675
2021-07-19,136.45,138.49,136.2089,137.92,8582302
2021-07-16,141.0,141.0,138.59,138.9,4109308
2021-07-15,139.32,140.46,138.8005,140.45,3639698
2021-07-14,140.72,140.75,138.9273,139.82,4403752
2021-07-13,140.92,140.92,139.63,140.28,3164294
2021-07-12,141.43,141.9599,140.115,140.92,3342627
2021-07-09,141.45,141.98,140.841,141.52,3904059
2021-07-08,137.78,141.31,137.66,140.74,5487425
2021-07-07,138.76,140.33,138.76,139.82,4059667
2021-07-06,139.99,140.42,137.1,138.78,8093747
2021-07-02,146.91,146.95,139.46,140.02,16828161
2021-07-01,146.96,147.5,146.57,146.84,2686289
2021-06-30,145.13,146.93,144.71,146.59,3245091
2021-06-29,145.26,146.74,145.1,145.55,2428626
2021-06-28,147.01,147.3,144.9121,145.29,3888869
2021-06-25,145.38,146.93,144.945,146.84,3594218
2021-06-24,145.8,146.19,144.69,145.44,3609679
2021-06-23,146.43,146.5,144.57,144.61,3202644
2021-06-22,146.52,146.81,145.35,146.36,2437121
2021-06-21,144.11,147.07,144.06,146.65,4285711
2021-06-18,144.48,144.68,143.04,143.12,9156505
2021-06-17,147.55,148.06,145.28,145.6,4367387
2021-06-16,149.76,149.76,147.22,147.83,3795420
2021-06-15,149.85,149.91,148.6,149.36,2513281
2021-06-14,150.71,151.03,148.655,150.03,3344845
2021-06-11,150.43,151.845,150.37,151.28,3438255
2021-06-10,151.47,152.84,149.76,150.54,4758488
2021-06-09,149.03,151.07,148.82,150.67,5303252
2021-06-08,148.12,150.2,148.12,149.07,5080099
2021-06-07,147.55,148.74,147.17,148.02,3462712
2021-06-04,146.0,147.55,145.76,147.42,3117905
2021-06-03,144.91,145.88,144.04,145.55,4130741
2021-06-02,144.62,145.75,144.11,145.72,2786916
2021-06-01,145.0,145.83,143.75,144.19,2417455
2021-05-28,144.21,144.33,143.485,143.74,2534811
2021-05-27,143.82,144.77,143.63,143.82,5630345
2021-05-26,143.5,143.9894,143.04,143.38,3083789
2021-05-25,144.92,145.0,143.2,143.79,3937323
2021-05-24,145.06,145.39,144.18,144.72,3297570
2021-05-21,144.28,145.699,144.28,144.74,4033482
2021-05-20,143.12,144.91,142.16,143.88,4112690
2021-05-19,142.32,143.2,140.92,143.19,4300732
2021-05-18,144.78,145.3,143.23,143.91,3824050
2021-05-17,144.44,145.8,144.33,145.11,4275172
2021-05-14,145.11,145.69,143.96,144.68,2747385
2021-05-13,141.45,144.9,141.28,144.17,4598920
2021-05-12,143.84,144.15,141.14,141.3,5959579
2021-05-11,144.99,145.19,142.9,144.22,7126404
2021-05-10,145.8,148.38,145.8,146.17,6983377
2021-05-07,145.92,146.14,144.57,145.46,7003467
2021-05-06,145.26,148.515,145.18,148.42,7503487
2021-05-05,145.94,145.94,144.97,145.22,4999900
2021-05-04,144.41,146.59,144.33,145.75,6350479
2021-05-03,143.81,145.75,143.55,144.75,5733463
2021-04-30,143.7,143.83,140.55,141.88,8872181
2021-04-29,144.13,148.74,142.98,144.24,4353880
2021-04-28,142.92,143.4,142.1,143.0,3768129
2021-04-27,141.69,142.56,140.75,142.01,3884037
2021-04-26,142.42,143.63,141.48,141.57,4710763
2021-04-23,141.31,143.61,140.95,142.43,4556700
2021-04-22,143.7,144.74,141.0,141.28,7101368
2021-04-21,138.06,143.73,137.71,143.55,11909005
2021-04-20,137.07,139.77,136.7,138.16,15480579
2021-04-19,133.6,133.815,132.58,133.12,8198582
2021-04-16,133.0,134.1,132.95,133.59,5291756
2021-04-15,133.28,133.87,132.22,132.58,3883955
2021-04-14,131.305,132.78,130.52,132.63,5868049
2021-04-13,133.0,133.62,130.38,131.18,8033530
2021-04-12,135.02,135.37,133.85,134.59,3753959
2021-04-09,134.87,135.74,134.71,135.73,3023916
2021-04-08,134.57,135.6299,134.16,135.12,4087228
2021-04-07,133.84,134.94,133.78,134.93,2976136
2021-04-06,135.58,135.64,134.09,134.22,3620964
2021-04-05,133.64,136.69,133.4,135.93,5471616
2021-04-01,133.76,133.93,132.27,133.23,4074161
2021-03-31,134.54,134.71,132.71,133.26,4945315
2021-03-30,135.86,136.27,134.02,134.72,4790366
2021-03-29,135.98,137.07,135.51,135.86,4622664
2021-03-26,133.29,136.48,133.12,136.38,5567592
2021-03-25,130.33,133.24,129.77,133.07,5553966
2021-03-24,130.95,132.11,130.57,130.62,4005027
2021-03-23,130.44,131.56,129.8,130.46,4356359
2021-03-22,128.5,130.72,127.89,130.55,4164914
2021-03-19,130.02,130.44,128.53,128.9,9844983
2021-03-18,128.94,130.995,127.79,130.06,5835669
2021-03-17,128.46,129.49,127.49,129.03,4291351
2021-03-16,128.28,128.52,127.34,128.24,4653178
2021-03-15,127.77,128.75,127.5401,128.58,3421281
2021-03-12,127.19,127.68,126.61,127.61,4010100
2021-03-11,128.09,128.64,126.78,127.14,5146937
2021-03-10,125.05,128.24,124.61,127.87,7247807
2021-03-09,125.4,126.43,124.16,124.18,5609029
